idx,risk,return,obj,status,w_A1,w_A2,w_A3,w_A4,w_A5
0,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
1,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
2,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
3,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
4,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
5,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
6,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
7,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
8,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
9,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
10,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
11,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
12,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
13,0.20270411864099142,-0.0218246250383327,0.02054447985701056,solved,0.22100603945962854,0.18528649263560332,0.20547921725806048,0.21847429554987305,0.16975395509683464
14,0.20284921164133562,-0.011992103965807244,0.020573901331755684,solved,0.22177656264531112,0.1910581270223688,0.21200175383135028,0.21923825646677908,0.15592530003419075
15,0.2056262286425203,0.02245172156045861,0.021141072952873013,solved,0.2244757448769924,0.21127645824716887,0.23485053392162056,0.22191445073442478,0.10748281221979354
16,0.21180334311428092,0.05689554708672451,0.022430328077192908,solved,0.2271749271086736,0.23149478947196891,0.25769931401189083,0.22459064500207046,0.05904032440539621
17,0.22109575619950458,0.09133937261299042,0.024441666704715388,solved,0.22987410934035488,0.25171312069676893,0.28054809410216114,0.2272668392697161,0.010597836590998878
18,0.24117499867392334,0.12578319813925634,0.029082689992683458,solved,0.16759009766113084,0.3248291897226621,0.363706180075674,0.14387453254053312,6.872574346080341e-23
19,0.2847713995715196,0.16022702366552213,0.04054737500696104,solved,0.08710850064379266,0.41275849029190387,0.4637529979572772,0.03638001110702631,9.893563493150462e-23
