idx,risk,return,obj,status,w_A1,w_A2,w_A3,w_A4,w_A5
0,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
1,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
2,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
3,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
4,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
5,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
6,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
7,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
8,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
9,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
10,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
11,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
12,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
13,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
14,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
15,0.10025495879669911,0.022451721560458618,0.005025528381663919,solved,0.2754309932189321,0.1362409764615191,0.2281034320488329,0.27941287944743876,0.08081171882327715
16,0.10231992451434846,0.05689554708672451,0.005234683476310984,solved,0.27117509244162236,0.15563810910010448,0.25604087746702947,0.28351326337178107,0.03363265761946265
17,0.10700725274655383,0.09133937261299041,0.005725276070182426,solved,0.2467493548488981,0.19219402353819987,0.3069012299479896,0.25415539166491247,2.806073078477909e-23
18,0.12219799326878206,0.1257831981392563,0.007466174779458653,solved,0.172246472305548,0.27135131404164575,0.4146739784080022,0.14172823524480413,1.128406846532521e-23
19,0.14701518152743656,0.16022702366552208,0.010806731799772562,solved,0.09774358976219803,0.35050860454509136,0.5224467268680144,0.0293010788246961,7.598815374961742e-25
