idx,risk,return,obj,status,w_A1,w_A2,w_A3,w_A4,w_A5,w_A6
0,0.024472380899059776,0.06000000000000001,0.0002994487134343329,solved,3.5214249093530246e-23,0.3337403413611395,1.842760361679313e-22,0.3772988787529367,0.05052549376499401,0.23843528612092982
1,0.025391311415484518,0.07000000000000003,0.0003223593476990572,solved,-2.7142088043665484e-22,0.31346019849260076,-4.0779917113935895e-23,0.4481006550631896,0.06631712325229298,0.17212202319191677
2,0.026846987776049762,0.08000000000000002,0.0003603803763236826,solved,-5.78883947885862e-22,0.2931800556240621,-2.6676854573370096e-22,0.5189024313734422,0.08210875273959191,0.10580876026290383
3,0.028675038428963368,0.09000000000000002,0.00041112891445126295,solved,1.847486132691518e-17,0.2652401871775415,0.03480290864004848,0.5627066629993166,0.07709650652523611,0.06015373465785731
4,0.030551615643749388,0.10000000000000006,0.0004667006092216961,solved,1.8476045411728244e-17,0.23336788217595875,0.08747332816742441,0.5926505897705528,0.0614037312941145,0.0251044685919495
5,0.0324653801482876,0.11000000000000004,0.0005270004540864133,solved,-2.2385589156502648e-21,0.19705836281693043,0.15631632837189466,0.6114877554230784,0.03513755338809641,-7.258440356230877e-21
6,0.034808265961351344,0.12000000000000005,0.0006058076896180854,solved,-2.1469569465490195e-21,0.13469168521338348,0.2702324746738025,0.595075840112814,8.340735216657203e-22,-6.447192188604996e-21
7,0.03907899494436385,0.13000000000000006,0.0007635839229308077,solved,-2.1626060666709628e-21,0.04303190237396858,0.39252364137640366,0.5644444562496278,8.452498090177449e-22,-6.496201460483917e-21
8,0.04563654353610661,0.14000000000000007,0.001041347052961477,solved,6.903467467560641e-24,1.296490026426779e-23,0.5327500648008265,0.46724993519917346,1.7697256190717788e-23,3.300217653923853e-23
